5014920080901-99.9-99.9-99.999900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5014920080902-99.9 17.5  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 72-99.9  14 11.2-9.9-9.9
5014920080903 14.5  8.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.2 67  5.8  16 12.8-9.9-9.9
5014920080904 12.4  6.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 58  1.6  15 12.0-9.9-9.9
5014920080905 10.1  6.7  0.119900-99.9-99.9-99.9-99.9-9.9 99 6.6 60  1.1   9  7.2-9.9-9.9
5014920080906  8.2  4.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.1 85  3.9   7  5.6-9.9-9.9
5014920080907 13.4  7.0  0.119900-99.9-99.9-99.9-99.9-9.9 9910.6 85  7.8   4  3.2-9.9-9.9
5014920080908 17.0  7.7  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 84  9.7   6  4.8-9.9-9.9
5014920080909 17.7  8.8  0.009900-99.9-99.9-99.9-99.9-9.9 9911.7 77  9.3  10  8.0-9.9-9.9
5014920080910 15.5  9.9  0.009900-99.9-99.9-99.9-99.9-9.9 9913.5 92 11.4   7  5.6-9.9-9.9
5014920080911 15.4 12.9  0.119900-99.9-99.9-99.9-99.9-9.9 9914.7 91 12.7  12  9.6-9.9-9.9
5014920080912 14.6  6.8  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.9 69  5.3  15 12.0-9.9-9.9
5014920080913 17.3  6.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 49  1.7   7  5.6-9.9-9.9
5014920080914 12.5  8.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.8 70  5.1  10  8.0-9.9-9.9
5014920080915 13.4  7.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 78  6.8   6  4.8-9.9-9.9
5014920080916 16.5  6.3  0.009900-99.9-99.9-99.9-99.9-9.9 9910.8 80  8.1   7  5.6-9.9-9.9
5014920080917 19.7  8.5  0.009900-99.9-99.9-99.9-99.9-9.9 9911.3 70  8.7  10  8.0-9.9-9.9
5014920080918 20.4  8.2  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 67  8.3   9  7.2-9.9-9.9
5014920080919 16.0  9.7  0.009900-99.9-99.9-99.9-99.9-9.9 9912.3 83 10.0   9  7.2-9.9-9.9
5014920080920 14.8 10.5  0.009900-99.9-99.9-99.9-99.9-9.9 9912.0 82  9.7  12  9.6-9.9-9.9
5014920080921 15.5  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 9911.6 80  9.1  12  9.6-9.9-9.9
5014920080922 17.2 13.0  0.009900-99.9-99.9-99.9-99.9-9.9 9914.1 82 12.1   9  7.2-9.9-9.9
5014920080923 20.8 11.1  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 79 12.3  11  8.8-9.9-9.9
5014920080924 19.2  9.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.4 75 10.2   9  7.2-9.9-9.9
5014920080925 19.0 11.6  0.009900-99.9-99.9-99.9-99.9-9.9 9913.7 79 11.7  10  8.0-9.9-9.9
5014920080926 21.4 10.5  0.009900-99.9-99.9-99.9-99.9-9.9 9915.0 83 13.1   9  7.2-9.9-9.9
5014920080927 26.0 13.2  0.009900-99.9-99.9-99.9-99.9-9.9 9915.3 67 13.3  13 10.4-9.9-9.9
5014920080928 19.9 14.6  0.219900-99.9-99.9-99.9-99.9-9.9 9915.7 80 13.8  10  8.0-9.9-9.9
5014920080929 16.6 14.8  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 94 14.7   7  5.6-9.9-9.9
5014920080930 17.4 12.8  0.009900-99.9-99.9-99.9-99.9-9.9 9914.4 84 12.4  11  8.8-9.9-9.9
5014920081001 16.0 12.3  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 88 12.2   6  4.8-9.9-9.9
5014920081002 23.2 10.5  0.009900-99.9-99.9-99.9-99.9-9.9 9914.4 75 12.4   6  4.8-9.9-9.9
5014920081003 18.6 11.3  0.009900-99.9-99.9-99.9-99.9-9.9 9912.6 74 10.4   5  4.0-9.9-9.9
5014920081004 17.5 12.3  0.009900-99.9-99.9-99.9-99.9-9.9 9911.5 68  9.1   8  6.4-9.9-9.9
5014920081005 19.2  9.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.0 49  3.8   6  4.8-9.9-9.9
5014920081006 27.2 12.1  0.009900-99.9-99.9-99.9-99.9-9.9 9911.9 52  9.5  10  8.0-9.9-9.9
5014920081007 18.3  9.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.3 58  6.0  13 10.4-9.9-9.9
5014920081008 18.5  5.1  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 51  2.0   8  6.4-9.9-9.9
5014920081009 23.7  8.1  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 56  7.1  10  8.0-9.9-9.9
5014920081010 24.9 12.5  0.009900-99.9-99.9-99.9-99.9-9.9 9914.2 66 12.2  10  8.0-9.9-9.9
5014920081011 28.8 15.4  0.119900-99.9-99.9-99.9-99.9-9.9 9917.0 64 15.0   9  7.2-9.9-9.9
5014920081012 23.0 15.7  0.009900-99.9-99.9-99.9-99.9-9.9 9919.8 88 17.3   9  7.2-9.9-9.9
5014920081013 17.6 15.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.9 91 14.8  11  8.8-9.9-9.9
5014920081014 16.6 14.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.3 91 14.3  13 10.4-9.9-9.9
5014920081015 17.1 13.4  0.009900-99.9-99.9-99.9-99.9-9.9 9914.7 85 12.7  13 10.4-9.9-9.9
5014920081016 18.5 12.8  0.009900-99.9-99.9-99.9-99.9-9.9 9913.5 76 11.4  10  8.0-9.9-9.9
5014920081017 18.7  9.5-99.999900-99.9-99.9-99.9-99.9-9.9 9910.9 68  8.3   9  7.2-9.9-9.9
5014920081018 21.8-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9 69-99.9  10  8.0-9.9-9.9
5014920081019 24.3 12.1  0.009900-99.9-99.9-99.9-99.9-9.9 9913.4 64 11.3   9  7.2-9.9-9.9
5014920081020 27.9 14.0  0.009900-99.9-99.9-99.9-99.9-9.9 9916.9 68 14.8  10  8.0-9.9-9.9
5014920081021 20.3 14.5  0.009900-99.9-99.9-99.9-99.9-9.9 9916.9 85 14.9   8  6.4-9.9-9.9
5014920081022 20.0 14.8  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 51  7.2   9  7.2-9.9-9.9
