5292920140328-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5292920140329 34.4 13.8  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 46 13.3 -99-99.9-9.9-9.9
5292920140330 26.4 12.5  0.009999-99.9-99.9-99.9-99.9-9.9 9912.7 50 10.4 -99-99.9-9.9-9.9
5292920140331 26.4  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.2 42  7.1 -99-99.9-9.9-9.9
5292920140401 24.6 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9912.6 57 10.3 -99-99.9-9.9-9.9
5292920140402 27.1 15.0  0.009999-99.9-99.9-99.9-99.9-9.9 9914.4 62 12.4 -99-99.9-9.9-9.9
5292920140403 27.4 17.1  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 60 13.4 -99-99.9-9.9-9.9
5292920140404 26.8 16.7  0.009999-99.9-99.9-99.9-99.9-9.9 9918.1 70 15.9 -99-99.9-9.9-9.9
5292920140405 26.9 19.1  0.009999-99.9-99.9-99.9-99.9-9.9 9919.3 70 16.9 -99-99.9-9.9-9.9
5292920140406 27.5 18.3  0.009999-99.9-99.9-99.9-99.9-9.9 9920.4 75 17.8 -99-99.9-9.9-9.9
5292920140407 27.2 16.3  0.009999-99.9-99.9-99.9-99.9-9.9 9916.6 64 14.4 -99-99.9-9.9-9.9
5292920140408 26.1  7.6  0.009999-99.9-99.9-99.9-99.9-9.9 9910.6 47  7.8 -99-99.9-9.9-9.9
5292920140409 27.6  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 9911.7 47  9.2 -99-99.9-9.9-9.9
5292920140410 21.4 11.0  2.019999-99.9-99.9-99.9-99.9-9.9 9912.8 75 10.7 -99-99.9-9.9-9.9
5292920140411 26.5  7.7  0.009999-99.9-99.9-99.9-99.9-9.9 9913.1 71 10.9 -99-99.9-9.9-9.9
5292920140412 18.8 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.9 46  4.5 -99-99.9-9.9-9.9
5292920140413 21.5  7.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 36 -1.3 -99-99.9-9.9-9.9
5292920140414 26.8  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.6 51  3.0 -99-99.9-9.9-9.9
5292920140415 28.4  3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.7 50  6.4 -99-99.9-9.9-9.9
5292920140416 24.5  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 9911.4 64  8.9 -99-99.9-9.9-9.9
5292920140417 22.0 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.6 52  4.8 -99-99.9-9.9-9.9
5292920140418 23.9  4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.3 46  4.3 -99-99.9-9.9-9.9
5292920140419 23.5  5.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.5 49  6.2 -99-99.9-9.9-9.9
5292920140420 23.9  8.4  0.009999-99.9-99.9-99.9-99.9-9.9 9910.1 57  7.1 -99-99.9-9.9-9.9
5292920140421 21.4  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.1 67  9.8 -99-99.9-9.9-9.9
5292920140422 28.6  7.9  0.009999-99.9-99.9-99.9-99.9-9.9 9912.5 65 10.2 -99-99.9-9.9-9.9
5292920140423 27.4  8.0  0.009999-99.9-99.9-99.9-99.9-9.9 9913.9 63 11.8 -99-99.9-9.9-9.9
5292920140424 28.4 13.4  0.009999-99.9-99.9-99.9-99.9-9.9 9915.3 67 13.3 -99-99.9-9.9-9.9
5292920140425 30.1 14.1  0.009999-99.9-99.9-99.9-99.9-9.9 9914.7 56 12.7 -99-99.9-9.9-9.9
5292920140426 28.8 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 9913.3 56 11.1 -99-99.9-9.9-9.9
5292920140427 22.6  8.8  0.009999-99.9-99.9-99.9-99.9-9.9 9912.4 65 10.1 -99-99.9-9.9-9.9
5292920140428 19.4 12.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.4 50  4.5 -99-99.9-9.9-9.9
5292920140429 19.5  5.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 8.7 61  4.9 -99-99.9-9.9-9.9
