5289620061103-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620061104-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250609-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250610-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250611 19.9  2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   2  1.5-9.9-9.9
5289620250612 23.1  6.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   5  4.0-9.9-9.9
5289620250613 22.9 16.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   2  1.9-9.9-9.9
5289620250614 18.1 12.1  0.519999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   6  5.0-9.9-9.9
5289620250615 18.8  8.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  1.0-9.9-9.9
5289620250616 18.9 10.5-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  1.0-9.9-9.9
5289620250617-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250619-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250620-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250621-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250622-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250623-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250624-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250625-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250626-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250627-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250629-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250630-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250701-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250702-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250703-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250704-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250705-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250706-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250707 31.4 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   2  1.7-9.9-9.9
5289620250708 27.8 14.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   3  2.2-9.9-9.9
5289620250709 27.3 17.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   5  4.3-9.9-9.9
5289620250710 25.3 13.8-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.1-9.9-9.9
5289620250711-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250714-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250715-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250716-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250717-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250718-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250719-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250720-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250721-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250722-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250723-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250725-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250726-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250728-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250729-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250730-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250731-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250801-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250802-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250803-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250804-99.9-99.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5289620250805 20.1  9.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  0.4-9.9-9.9
5289620250806 21.9 11.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.0-9.9-9.9
5289620250807 21.8 15.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   3  2.7-9.9-9.9
5289620250808 16.4  6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   3  2.7-9.9-9.9
5289620250809 20.6  0.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.1-9.9-9.9
5289620250810 20.7  2.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.3-9.9-9.9
5289620250811 23.7  3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.1-9.9-9.9
5289620250812 25.9  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   2  1.5-9.9-9.9
5289620250813 26.7  6.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.2-9.9-9.9
5289620250814 23.0  9.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  1.1-9.9-9.9
5289620250815 21.1  6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.2-9.9-9.9
5289620250816 23.2  7.8  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  0.6-9.9-9.9
5289620250817 25.3 11.5  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   2  2.0-9.9-9.9
5289620250818 27.2 15.4 38.019999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  0.7-9.9-9.9
5289620250819 22.5 13.4  1.219999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   4  3.1-9.9-9.9
5289620250820 23.0 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  0.6-9.9-9.9
5289620250821 24.5 10.3  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   4  3.2-9.9-9.9
5289620250822 34.7 14.5  2.219999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   8  6.2-9.9-9.9
5289620250823 19.1 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   9  7.5-9.9-9.9
5289620250824 20.3  0.9  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.3-9.9-9.9
5289620250825 23.8  2.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  0.7-9.9-9.9
5289620250826 24.2  5.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  1.1-9.9-9.9
5289620250827 25.1  4.7  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   1  0.8-9.9-9.9
5289620250828 27.1  5.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.2-9.9-9.9
5289620250829 29.4 12.6  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   4  3.3-9.9-9.9
5289620250830 31.0 20.4  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   9  6.9-9.9-9.9
5289620250831 27.6 13.7 17.519999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   7  5.3-9.9-9.9
5289620250901 16.0  9.4  0.219999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   2  1.7-9.9-9.9
5289620250902 18.1 13.1  0.009999-99.9-99.9-99.9-99.9-9.9 99-9.9  0-99.9   0  0.0-9.9-9.9
