5272920120314-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272920120404-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272920120405-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9918.1 77 15.8 -99-99.9-9.9-9.9
5272920120406-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9916.7 69 14.6 -99-99.9-9.9-9.9
5272920120407-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9917.8 78 15.7 -99-99.9-9.9-9.9
5272920120408-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9917.7 70 15.6 -99-99.9-9.9-9.9
5272920120409-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9919.5 76 17.1 -99-99.9-9.9-9.9
5272920120410-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9919.3 83 16.9 -99-99.9-9.9-9.9
5272920120411-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9919.6 87 17.2 -99-99.9-9.9-9.9
5272920120412-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272920120416-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272920120417-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 9917.3 81 15.2 -99-99.9-9.9-9.9
5272920120418-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272920120606-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272920120621-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5272920120622 20.9 -2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.5 27-11.7   3  2.7-9.9-9.9
5272920120623 23.6 -3.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.3 27-13.2   3  2.3-9.9-9.9
5272920120624 22.7 -2.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.0 19-14.6   3  2.6-9.9-9.9
5272920120625 20.0 -2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.7 28-10.8   4  2.9-9.9-9.9
5272920120626 21.0 -3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.8 33-10.2   3  2.0-9.9-9.9
5272920120627 30.0 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.9 20-15.9   2  1.6-9.9-9.9
5272920120628 31.0  0.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.0 18-15.1   3  2.8-9.9-9.9
5272920120629 24.5  1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.8 24-10.6   2  1.7-9.9-9.9
5272920120630 25.8  0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.2 20-13.2   3  2.3-9.9-9.9
5272920120701 32.8  0.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.9 18-99.9   2  1.4-9.9-9.9
5272920120702 32.2  1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.8 25-10.0   3  2.3-9.9-9.9
5272920120703 24.0  2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.4 55  1.8   1  0.8-9.9-9.9
5272920120704 27.1  9.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.0 10-14.7   2  1.7-9.9-9.9
5272920120705 25.1 -1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.1 22-13.9   2  1.4-9.9-9.9
5272920120706 22.7 -2.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.2 23-15.2   3  2.0-9.9-9.9
5272920120707 14.8 -6.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.0 46 -9.4   1  0.6-9.9-9.9
5272920120708 26.4 -6.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.9 19-99.9   1  0.5-9.9-9.9
5272920120709 24.1  3.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.1 23 -5.9   2  1.4-9.9-9.9
5272920120710 26.0  6.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.0 32 -2.7   1  1.1-9.9-9.9
5272920120711 26.0  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.9 35 -6.9   1  0.9-9.9-9.9
5272920120712 20.3  3.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.8 18-16.1   2  1.8-9.9-9.9
5272920120713 18.6 -2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.5 26-11.8   1  0.6-9.9-9.9
5272920120714 16.4 -2.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 48 -4.7   1  0.8-9.9-9.9
5272920120715 13.0 -1.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 6.2 68  0.1   1  0.4-9.9-9.9
5272920120716 15.1 -4.0  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.5 57 -4.4   1  0.5-9.9-9.9
5272920120717 17.4 -4.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.9 37 -9.9   1  0.6-9.9-9.9
5272920120718 21.2 -4.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.2 32-13.1   1  0.7-9.9-9.9
5272920120719 23.4 -2.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 1.8 19-15.7   0  0.4-9.9-9.9
5272920120720 26.9 -1.4  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.0 20-14.5   1  0.6-9.9-9.9
5272920120721 28.1  1.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.0 16-14.5   1  0.7-9.9-9.9
5272920120722 21.6 -2.8  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.6 25-11.5   1  0.4-9.9-9.9
5272920120723 30.3 -1.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.3 25-13.3   0  0.3-9.9-9.9
5272920120724 18.0 -1.5  0.009999-99.9-99.9-99.9-99.9-9.9 99 4.1 34 -7.5   1  0.8-9.9-9.9
5272920120725 18.3 -0.7  0.009999-99.9-99.9-99.9-99.9-9.9 99 5.6 52 -1.4   0  0.4-9.9-9.9
5272920120726 21.1 -2.6  0.009999-99.9-99.9-99.9-99.9-9.9 99 3.7 37 -7.1   0  0.3-9.9-9.9
5272920120727 19.5 -3.3  0.009999-99.9-99.9-99.9-99.9-9.9 99 2.8 33-10.4   1  0.4-9.9-9.9
